time_ps,Mx_eA,My_eA,Mz_eA,M_mag_eA
260.0000,12.592813,-14.027637,8.117726,20.524400
261.0000,5.808523,-12.761808,0.325338,14.025282
262.0000,6.320620,-2.547527,-0.725166,6.853174
263.0000,-3.178934,5.279463,10.558806,12.225659
264.0000,-8.155412,17.224507,4.060612,19.485455
265.0000,-5.409834,2.371159,-1.408504,6.072280
266.0000,-13.976520,-0.970720,-14.541797,20.192803
267.0000,-13.482597,6.862372,-4.568107,15.803169
268.0000,-2.205582,-4.421742,-0.555211,4.972390
269.0000,-6.901778,5.398451,-7.018971,11.226922
270.0000,-4.343790,0.051024,-5.853727,7.289529
271.0000,0.333265,6.712866,-8.852720,11.115048
272.0000,-0.169216,-5.998487,-9.296234,11.064830
273.0000,-12.103052,-7.180017,4.852156,14.885561
274.0000,-15.241394,-7.207391,-6.893767,18.214571
275.0000,-11.043021,-11.707746,-0.825803,16.115259
276.0000,-8.509023,-12.929266,-2.475357,15.674718
277.0000,-15.779105,-12.067850,-1.590172,19.928417
278.0000,-17.686593,-14.263852,0.486669,22.726854
279.0000,-15.638376,-12.107001,-1.673278,19.847875
280.0000,-16.068326,-7.749539,7.115785,19.206272
281.0000,-13.111295,-11.341465,1.914636,17.441351
282.0000,-4.139324,-10.891055,6.112392,13.157143
283.0000,-11.653946,-12.172293,0.680386,16.865411
284.0000,-11.439690,-13.241250,0.056230,17.498581
285.0000,-11.851363,-10.602806,-7.625022,17.635625
286.0000,-7.382633,1.340991,-11.037008,13.346051
287.0000,-3.786256,-6.327634,-3.507802,8.165743
288.0000,-6.241566,-1.474390,-7.777721,10.080869
289.0000,-2.466204,-7.365255,1.496593,7.910053
290.0000,-6.374428,0.039921,7.576685,9.901570
291.0000,-7.275636,18.364800,6.018084,20.649893
292.0000,-11.401894,18.865367,0.613815,22.051803
293.0000,-4.648494,8.156970,-9.938046,13.671482
294.0000,-2.041123,9.432529,-11.300276,14.860519
295.0000,-3.288734,8.388041,0.110803,9.010399
296.0000,3.907057,11.736968,-4.563525,13.185116
297.0000,-3.071006,8.163450,4.373870,9.757241
298.0000,-8.114933,-0.054267,4.402695,9.232486
299.0000,-12.708832,2.525405,-1.828391,13.085683
300.0000,-8.819617,8.793167,1.477121,12.541424
301.0000,-2.171389,2.191109,0.273662,3.096898
302.0000,-4.907704,-0.261735,0.339372,4.926382
303.0000,2.890506,0.360588,2.205849,3.653877
304.0000,7.416512,8.050878,-2.662873,11.265531
305.0000,-1.831467,0.209955,-0.791129,2.006051
306.0000,-0.617379,4.269697,6.142141,7.505822
307.0000,-2.508918,0.793115,1.909871,3.251355
308.0000,-5.849893,8.351651,8.997214,13.598573
309.0000,-1.519361,4.044681,12.916217,13.619712
310.0000,-1.833517,8.011685,12.921364,15.313736
311.0000,-0.842797,-2.585546,12.382693,12.677793
312.0000,6.817774,2.584585,14.940074,16.624318
313.0000,-2.533589,-4.297102,13.337597,14.239932
314.0000,12.798834,-3.399485,13.740430,19.083135
315.0000,8.269775,-11.859917,13.235444,19.601627
316.0000,6.295025,-0.321650,14.735672,16.027190
317.0000,6.685706,1.443643,15.287397,16.747754
318.0000,4.558956,8.553126,11.382087,14.949647
319.0000,4.819455,8.180195,14.935438,17.697741
320.0000,2.442809,-0.512513,8.971162,9.311913
321.0000,-0.432349,-11.181445,6.514469,12.947971
322.0000,9.676870,-18.544861,11.567635,23.903219
323.0000,7.438034,-13.743679,16.202719,22.510912
324.0000,-3.895461,-15.623899,5.472207,17.006643
325.0000,-8.838591,-8.297982,-2.149469,12.312490
326.0000,-6.970888,-14.635866,13.330210,20.988005
327.0000,-10.428251,-17.145450,11.282288,23.021835
328.0000,-14.790649,-3.783076,0.766583,15.286026
329.0000,-9.959217,-7.940653,-0.756766,12.759806
330.0000,-11.287378,-15.175679,-8.072537,20.563852
331.0000,-14.264255,-11.186495,-5.101495,18.831673
332.0000,-9.036863,-8.590702,-0.338336,12.473153
333.0000,-7.310833,-4.975604,-6.049721,10.714665
334.0000,-9.823550,-8.047264,-10.538973,16.502441
335.0000,1.698230,7.578109,-3.236493,8.413477
336.0000,5.705607,-0.460379,-5.705956,8.082316
337.0000,11.389042,-3.520360,-10.684308,16.008049
338.0000,11.497679,-8.623460,-7.375599,16.154261
339.0000,14.615533,-10.803286,3.575125,18.523129
340.0000,2.784421,-2.584890,1.956049,4.273264
341.0000,7.400309,-4.786537,7.119212,11.329549
342.0000,-0.703146,-8.989979,6.433255,11.077044
343.0000,6.828610,-8.704359,-0.097900,11.063696
344.0000,4.205876,-13.057664,5.243998,14.686439
345.0000,-1.730851,-26.133139,13.240280,29.346921
346.0000,5.649017,-27.824894,13.850799,31.590833
347.0000,2.852806,-18.901760,14.821013,24.188374
348.0000,7.659446,-23.712662,16.757767,30.029656
349.0000,11.946730,-29.989581,17.011043,36.489381
350.0000,13.630980,-25.196690,17.964778,33.814346
351.0000,13.789407,-21.308135,17.673233,30.927779
352.0000,3.671743,-26.141154,17.282222,31.551812
353.0000,12.075870,-18.817505,7.043099,23.442064
354.0000,23.988055,-30.488008,7.257021,39.466566
355.0000,16.622738,-29.821613,13.086020,36.563479
356.0000,20.830279,-30.488660,12.694576,39.046270
357.0000,24.967157,-35.339602,24.525862,49.736951
358.0000,32.403341,-27.810220,20.421185,47.332966
359.0000,19.624221,-27.930377,18.189784,38.679249
360.0000,15.792014,-27.611688,22.095053,38.729632
361.0000,17.522192,-19.650654,9.849837,28.110402
362.0000,18.466239,-25.276502,18.414087,36.317793
363.0000,11.150670,-23.025436,20.508092,32.788565
364.0000,9.649762,-17.884977,18.445679,27.445097
365.0000,10.180886,-11.548097,24.318607,28.782002
366.0000,13.060957,-8.010231,13.184704,20.213580
367.0000,2.804143,-4.794508,23.919597,24.556010
368.0000,-1.315791,-6.750566,15.388543,16.855524
369.0000,0.802449,0.721948,15.447464,15.485131
370.0000,-1.774179,8.388591,9.756524,12.988685
371.0000,6.234849,8.287408,19.351087,21.954932
372.0000,9.215298,13.326751,9.166404,18.615772
373.0000,9.373139,9.512082,1.615981,13.451648
374.0000,17.811755,4.810412,7.385318,19.873138
375.0000,15.962235,-0.421947,9.614812,18.639088
376.0000,11.097667,0.961642,5.977353,12.641666
377.0000,12.202266,-1.448792,-0.566023,12.301003
378.0000,12.765678,-6.386599,8.149458,16.436692
379.0000,18.818841,-10.634723,-4.473592,22.073947
380.0000,15.701886,1.754689,-0.970185,15.829385
381.0000,13.919814,3.741126,-5.664067,15.486733
382.0000,14.575763,-6.560315,-3.200244,16.301293
383.0000,7.112240,-2.325095,-10.645536,13.012204
384.0000,12.295285,-4.748460,-3.488165,13.634119
385.0000,1.697178,-3.553933,-3.163735,5.051739
386.0000,12.142625,-16.005250,-8.842466,21.949956
387.0000,22.471412,-14.472289,-10.566148,28.741172
388.0000,23.073281,-14.922490,-12.283346,30.098797
389.0000,19.932303,-18.319490,-11.273131,29.325483
390.0000,19.128084,-10.138384,-8.669679,23.320244
391.0000,24.075259,0.718449,-18.430176,30.328297
392.0000,21.924973,1.849961,-12.352902,25.233330
393.0000,23.874384,-2.311138,-6.103076,24.750254
394.0000,25.130776,-1.175651,2.502537,25.282420
395.0000,25.591170,-1.628066,0.984716,25.661805
396.0000,34.060540,2.903924,0.690270,34.191075
397.0000,39.839366,-11.328068,-0.960462,41.429732
