#"Step","Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)","Box Volume (nm^3)","Density (g/mL)","Speed (ns/day)"
31500,63.00000000003103,-28122.048963440415,13413.25145841384,-14708.797505026574,287.6425678316328,42.26334566268058,1.1898592554371623,101
32000,64.00000000003224,-28548.42606038947,13641.92604202292,-14906.500018366549,292.54641568918447,41.44100692244588,1.2134703458482599,101
32500,65.00000000002991,-28316.479232528865,13401.380173223359,-14915.099059305507,287.3879922004938,41.374652707618836,1.2154164376398615,101
33000,66.00000000002758,-28531.984453843637,13382.84984502129,-15149.134608822347,286.9906156804657,41.83820697699935,1.2019500030229824,101
33500,67.00000000002525,-28526.874651684986,13506.277047053238,-15020.597604631748,289.63746961016466,41.65112253031411,1.207348804726231,101
34000,68.00000000002292,-28323.460029062608,13364.762623041448,-14958.69740602116,286.6027414210922,41.43543299747957,1.2136335827729714,101
34500,69.00000000002059,-28662.069417440543,13905.363677790678,-14756.705739649866,298.1957452533596,41.477588597333146,1.2124001105916227,101
35000,70.00000000001826,-28341.900365207664,13623.056322416594,-14718.84404279107,292.1417610371298,41.758150183608244,1.204254325954802,101
35500,71.00000000001593,-28105.398879457764,13387.010698790858,-14718.388180666905,287.0798437596053,41.880886930740466,1.2007251204025884,101
36000,72.0000000000136,-28261.212621940518,13645.762431683126,-14615.450190257392,292.62868574700644,41.66255150163744,1.2070176018985326,101
36500,73.00000000001127,-27978.340530976166,13416.31009183405,-14562.030439142116,287.7081591741773,41.584722456390864,1.2092766293009662,101
37000,74.00000000000894,-27954.375634263666,13401.701538576652,-14552.674095687014,287.3948837700524,41.62658395410584,1.208060528289409,101
37500,75.00000000000661,-28230.946641086488,13468.583085874485,-14762.363555212003,288.829135566863,41.72197426922236,1.2052984999699974,101
38000,76.00000000000428,-28200.745339010777,13523.940932310074,-14676.804406700703,290.0162655590002,41.9289434734257,1.1993489183516488,101
38500,77.00000000000195,-28294.813769337863,13667.540707570752,-14627.273061767111,293.0957133889383,41.68990983665182,1.206225515946551,101
39000,77.99999999999962,-28368.533498561086,13669.258987000936,-14699.27451156015,293.1325613008024,42.05365318259266,1.1957922605234232,101
39500,78.99999999999729,-28130.97617518234,13566.123149370022,-14564.853025812317,290.920848707208,41.88678711873263,1.2005559858275918,101
40000,79.99999999999496,-27834.156126938145,13491.838305067817,-14342.317821870329,289.3278357504088,42.42899970996351,1.1852137299072747,101
