#"Step"	"Acceleration (nm/ps^2)"	"VelocityAmplitude (nm/ps)"	"1/Viscosity (1/Pa.s)"
8950	0.02	0.012274723156350413	1616.7547762878967
9000	0.02	0.01770748035720592	2332.325794959013
9050	0.02	0.017169804849150115	2261.5063202816946
9100	0.02	0.017974488925794452	2367.494602684991
9150	0.02	0.020834799850160773	2744.238036303306
9200	0.02	0.01777229634706281	2340.8629782295566
9250	0.02	0.020358594342970427	2681.515030787188
9300	0.02	0.016614369221428647	2188.3475864674365
9350	0.02	0.01479480656976752	1948.685431129437
9400	0.02	0.01003954613929071	1322.3503264155897
9450	0.02	0.009741444120890059	1283.0860712522488
9500	0.02	0.009563688931104108	1259.6731968080933
9550	0.02	0.00999666914433302	1316.702819298099
9600	0.02	0.010206208160463751	1344.302073540567
9650	0.02	0.0076003457861185545	1001.0731154282312
9700	0.02	0.006297851736256911	829.5162135431634
9750	0.02	0.006194176483751102	815.8607153672309
9800	0.02	0.00800622370784433	1054.5329825210756
9850	0.02	0.010789985627816835	1421.1938287850883
9900	0.02	0.013414664003239438	1766.9011205612508
9950	0.02	0.012291837164151114	1619.0089333471453
10000	0.02	0.010322629002103123	1359.6363462066297
10050	0.02	0.010668351262152652	1405.172861212669
10100	0.02	0.011883659316353913	1565.2461334375096
10150	0.02	0.01610090644237874	2120.717270907488
10200	0.02	0.013487407730160057	1776.482499012385
10250	0.02	0.0142048695829568	1870.9823799904243
10300	0.02	0.010814306993485593	1424.3972968886
10350	0.02	0.01361861899570077	1793.7648798501132
10400	0.02	0.009696521370104202	1277.1691091365328
10450	0.02	0.011709978776902392	1542.3699481150545
10500	0.02	0.006702921932175901	882.8696917146924
10550	0.02	0.004425763676984392	582.9357185774179
10600	0.02	0.0019725448514210917	259.812076358499
10650	0.02	-0.003156804527848825	-415.79583777141
10700	0.02	-0.005681821988099383	-748.3763764174813
10750	0.02	-0.009583562560763901	-1262.2908351259093
10800	0.02	-0.012714649770687756	-1674.6993381233374
10850	0.02	-0.013057606496851518	-1719.8715931732165
10900	0.02	-0.01460125980482648	-1923.192582723189
10950	0.02	-0.016839151544576197	-2217.9545999979923
11000	0.02	-0.017640208102901126	-2323.4650868946796
11050	0.02	-0.022024973614279977	-2901.000766773261
11100	0.02	-0.02007773171626849	-2644.521447517149
11150	0.02	-0.0179524412098086	-2364.5906064259857
11200	0.02	-0.0148433493623561	-1955.0792039886917
11250	0.02	-0.014801992198406657	-1949.631880126696
11300	0.02	-0.014334056290341665	-1887.9980978634035
11350	0.02	-0.014457230823948152	-1904.2219273533824
11400	0.02	-0.012262180494446832	-1615.1027301861895
11450	0.02	-0.009067581164162954	-1194.3287819859415
11500	0.02	-0.006350279507516223	-836.421693081394
11550	0.02	-0.0034078394272445403	-448.86068717316607
11600	0.02	-0.0038936348955482644	-512.8468263043547
11650	0.02	-0.004601278186024346	-606.0534636527001
11700	0.02	-0.006854968867259929	-902.8964251396219
11750	0.02	-0.005357699934581696	-705.6849143412996
11800	0.02	-0.0033571521345990294	-442.18445330313085
11850	0.02	-0.0016348332984348305	-215.33068485634803
11900	0.02	0.0027085904476230583	356.75969937756025
11950	0.02	0.004227257472584391	556.7896417984524
12000	0.02	0.004933925639247776	649.86784153875
12050	0.02	0.00824068172592002	1085.4144220235833
12100	0.02	0.009059389721725484	1193.2498530751402
12150	0.02	0.013752253699168288	1811.3664617641743
