SMILES,Temperature [K],Exp Density [g/mL],Sim Density [g/mL],Sim Density std [g/mL],Similarity
Fc1ccc(F)cc1,293,1.1701,1.2126,0.00052,0.9967
Cc1ccc(C(=O)Cl)cc1,293,1.1686,1.2813,0.0007,0.8925
CN(C)C(=O)Cl,298,1.168,1.2396,0.00077,0.8941
COC(=O)CO,291,1.1677,1.224,0.00054,0.9566
COC(=O)c1cc(C)ccc1O,298,1.1673,1.2007,0.00048,0.9722
COc1ccc(OC)c([N+](=O)[O-])c1,405,1.1666,1.1993,0.00067,0.9337
O=C1OCc2ccccc21,372,1.1636,1.1669,0.00076,0.9186
ClC/C=C/c1ccccc1,318,1.1617,1.1208,0.00053,0.9442
Cc1ccccc1[N+](=O)[O-],292,1.1611,1.1938,0.0006,0.9425
COC(=O)/C=C\C(=O)OC,293,1.1606,1.2206,0.00032,0.9391
C/C(Cl)=C/CCl,293,1.1605,1.1569,0.0009,0.9163
C/C(Cl)=C\CCl,293,1.16,1.1496,0.00088,0.9163
CCOP(=S)(OCC)SCSCC,298,1.16,1.1654,0.00073,0.9174
Fc1ccccc1F,291,1.1599,1.2185,0.00048,0.9818
O=Cc1ccco1,293,1.1594,1.2055,0.0006,0.9271
Cc1cc([N+](=O)[O-])ccc1N,413,1.1586,1.1863,0.00068,0.9573
CCOC(=O)CCl,293,1.1585,1.1769,0.00053,0.9519
CC(=O)OCC(COC(C)=O)OC(C)=O,293,1.1583,1.2094,0.0006,0.9479
C=CCOC(=O)C(=O)OCC=C,293,1.1582,1.1337,0.00065,0.9728
N#CCCCl,293,1.1573,1.1842,0.0008,0.9636
Fc1cccc(F)c1,293,1.1572,1.2156,0.00075,0.9882
COC(=O)CCSCCC(=O)OC,293,1.1559,1.1785,0.00064,0.9508
ClC1(Cl)CCCCC1,293,1.1559,1.1742,0.00062,0.9128
C=Cc1cccc([N+](=O)[O-])c1,305,1.1552,1.2019,0.00035,0.9398
CSCCl,298,1.153,1.1351,0.00037,0.9498
COC(=O)c1cccc(O)c1,373,1.1528,1.2092,0.0006,0.9656
O=[N+]([O-])N1CCCCC1,299,1.1519,1.1697,0.00053,0.9484
O=C(Cl)C1CC1,293,1.1516,1.2831,0.00053,0.8945
CC(=O)CCl,293,1.15,1.2011,0.00043,0.9584
CCSCC(=O)O,293,1.1497,1.1646,0.00057,0.9514
O=C1CCO1,293,1.146,1.0998,0.00033,0.8909
[N-]=[N+]=NCCO,297,1.146,1.1845,0.00048,0.943
CCOP(=S)(OCC)SCCSCC,293,1.144,1.1618,0.00053,0.9176
CCOC(=O)C(=O)C(=O)OCC,289,1.1419,1.1977,0.00087,0.9185
O=CC1CO1,293,1.1403,1.1412,0.00044,0.8826
O=C(F)c1ccccc1,293,1.14,1.2311,0.00052,0.9147
CC(=O)c1ccc(F)cc1,298,1.1382,1.1904,0.0007,0.9849
C[N+](=O)[O-],293,1.1371,1.1433,0.0005,0.9437
CCOC(Cl)CCl,293,1.137,1.1849,0.0005,0.9313
CC1CC(C)S(=O)(=O)C1,293,1.1362,1.1768,0.00066,0.9048
C=CCOC(=O)Cl,298,1.136,1.2583,0.00102,0.8934
ClCCCOCCCCl,293,1.136,1.1347,0.00057,0.99
CCOC(=O)Cl,293,1.1352,1.2705,0.00051,0.892
ClCOCc1ccccc1,293,1.135,1.1566,0.00083,0.9519
CCC(CO)[N+](=O)[O-],298,1.1332,1.1026,0.00104,0.9171
ClCCCCCl,298,1.1331,1.1417,0.00051,0.9931
O=C(c1ccccc1)c1ccc(O)cc1,445,1.133,1.1494,0.00091,0.9463
Fc1cccc2ccccc12,293,1.1322,1.172,0.00064,0.9218
CCC(Cl)Cl,293,1.1321,1.1271,0.00106,0.9635
Cc1ccc(C)c([N+](=O)[O-])c1,288,1.132,1.17,0.00068,0.9448
SCc1ccco1,293,1.1319,1.1478,0.00041,0.9253
OCCCCl,293,1.1309,1.1466,0.0004,0.9896
S=C=Nc1ccccc1,293,1.1303,1.1313,0.00066,0.8934
