SMILES,Temperature [K],Exp Density [g/mL],Sim Density [g/mL],Sim Density std [g/mL],Similarity
CC/C=C/CC(=O)OCC,293,0.8957,0.9254,0.00049,0.9716
CC(C)[C@@H]1CC[C@@H](C)CC1=O,293,0.8954,0.9089,0.00068,0.9367
C=CC(C)(CCC=C(C)C)OC(C)=O,293,0.895,0.9398,0.0005,0.9593
CCCCC(=O)OC,293,0.8947,0.9151,0.00061,0.9927
N#CC1CC1,293,0.8946,0.922,0.00054,0.9229
C=Cc1cccc(CC)c1,293,0.8945,0.9345,0.00068,0.9493
Cc1cccc(C)c1C,293,0.8944,0.9237,0.00095,0.9833
C#CC(OCC)OCC,295,0.8942,0.9103,0.00042,0.9058
C=C(C)C(=O)OCCCC,293,0.8936,0.9261,0.00075,0.9949
C=C(C)c1ccc(C(C)C)cc1,293,0.8936,0.9348,0.00064,0.9217
C=C(C)c1ccc(C)cc1,296,0.8936,0.9433,0.00039,0.9217
C=CC(=O)OCC(C)CC,293,0.8936,0.9244,0.00037,0.9692
C/C=C1\CC2C=CC1C2,298,0.893,0.9404,0.00086,0.8869
C1COC1,298,0.893,0.7764,0.00104,0.8867
CCN(CC)CCO,293,0.8921,0.861,0.0005,0.9664
C=CCc1ccccc1,293,0.892,0.9242,0.00038,0.9653
CC1CC(=O)CC(C)(C)C1,292,0.8919,0.8994,0.00055,0.9531
CCC(CC)CCl,293,0.8914,0.9004,0.0008,0.9636
COC(=O)C(C)(C)C,273,0.891,0.9179,0.00041,0.9579
CCOC(OCC)OCC,293,0.8909,0.9079,0.00067,0.915
CCCCNCCO,293,0.8907,0.8952,0.00067,0.9881
COC(=O)C(C)C,293,0.8906,0.9147,0.00049,0.9559
Cc1cc(C)c(C)c(C)c1,293,0.8903,0.9197,0.00087,0.9829
C1CCCOCC1,298,0.89,0.9179,0.00064,0.9342
C=Cc1ccc(C(C)(C)C)cc1,293,0.89,0.9323,0.00095,0.949
CC(C)COCCO,293,0.89,0.8996,0.00054,0.9802
CCCCl,293,0.8899,0.9,0.00051,0.9907
C=CC(=O)OCCCC,293,0.8898,0.9349,0.00046,0.9698
Cc1ccccc1C(C)(C)C,293,0.8897,0.9174,0.00041,0.9423
C=CC(=O)OCC(C)C,293,0.8896,0.9295,0.00064,0.9698
CC(C)=CCC/C(C)=C/CO,293,0.8894,0.9121,0.00045,0.9481
C=CCCCCCCCCC(=O)OC,288,0.889,0.9193,0.00074,0.9907
CCCOCC(C)O,293,0.8886,0.8917,0.00058,0.9885
C=Cc1ccc(CC)cc1,298,0.8884,0.9367,0.00037,0.949
CCCC(=O)N(CC)CC,293,0.8884,0.9155,0.00071,0.9601
Cc1ccc(C)o1,293,0.8883,0.9245,0.00045,0.991
CCc1cccc(C)c1C,298,0.8881,0.919,0.0007,0.9618
CC(=O)CCC(C)C,293,0.888,0.8341,0.00078,0.9861
CCC(=O)OCC(C)C,273,0.888,0.9147,0.00064,0.9788
CCCCCCOCCO,293,0.8878,0.898,0.00064,0.9925
CCCOC(C)=O,293,0.8878,0.9192,0.00061,0.9992
C=CCSCC=C,300,0.8877,0.9133,0.00057,0.9469
C1=CC=CCC=C1,292,0.8875,0.9554,0.00033,0.898
C=C(CC)c1ccccc1,298,0.887,0.9386,0.00053,0.9096
COC1=NCCCCC1,298,0.887,1.0094,0.00056,0.891
CC(C)=CCC/C(C)=C\C=O,293,0.8869,0.9084,0.00081,0.9309
C=CCOC(=O)CCCCC,293,0.8869,0.916,0.00068,0.9786
CN(C)CCO,293,0.8866,0.8729,0.0004,0.9888
CCc1c(C)cccc1C,298,0.8864,0.9175,0.00047,0.9485
CCCON=O,293,0.886,0.9505,0.00087,0.8608
C=C(C)C(=O)OCC(C)C,293,0.8858,0.9177,0.00081,0.9785
CCCCCl,293,0.8857,0.8961,0.0004,0.9934
CCCCCOC=O,293,0.8853,0.9079,0.00033,0.9689
C=CC(=O)OCCCCCCCC(C)C,293,0.885,0.9028,0.0004,0.9698
C=Cc1ccc(C(C)C)cc1,293,0.885,0.9355,0.00056,0.949
CCCCOCCOCCOCCCC,298,0.885,0.9004,0.00045,0.991
C=C(C)C(=O)OC(C)C,293,0.8847,0.9216,0.00102,0.9777
CCOC(C)(OCC)OCC,298,0.8847,0.9103,0.00047,0.9191
CCC(C)OC=O,293,0.8846,0.9182,0.00075,0.9686
CCCCCC(=O)OC,293,0.8846,0.9067,0.00034,0.992
CCCOC(=O)C(C)C,273,0.8843,0.9122,0.00062,0.9554
CCOC(=O)CC,298,0.8843,0.9114,0.00045,0.9966
NCCCN,298,0.884,0.8729,0.00038,0.9804
C1CCOC1,298,0.8833,0.9044,0.00066,0.9656
C/C=C/Cc1ccccc1,293,0.8831,0.9215,0.00065,0.9659
C=CCCc1ccccc1,293,0.8831,0.9171,0.00066,0.9812
C1=C\CC/C=C\CC/1,293,0.883,0.8625,0.00068,0.9176
CCc1cc(C)c(C)cc1C,293,0.883,0.9183,0.00078,0.9593
CC(C)CCON=O,293,0.8828,0.9185,0.00034,0.8608
C=CCCCCCCCCC(=O)OCC,288,0.8827,0.9078,0.00038,0.9907
CCCCOC(C)=O,293,0.8825,0.9092,0.00057,0.995
CC(CO)N(C)C,299,0.882,0.8682,0.00057,0.9598
CCCCCCl,293,0.882,0.8934,0.00099,0.993
CCCCOCC(C)O,293,0.882,0.887,0.00076,0.9885
CCCCCCC(=O)OCC,293,0.8817,0.8919,0.00051,0.9919
CCCCCON=O,293,0.8817,0.9288,0.00086,0.8608
CCCCCCC(=O)OC,293,0.8815,0.9035,0.00054,0.9919
C1CCOCC1,293,0.8814,0.9103,0.00055,0.994
CCCCCCOC=O,293,0.8813,0.9037,0.00068,0.9689
C=CC(=O)OCCCCCCCC,293,0.881,0.9119,0.0004,0.9698
CCCOC(=O)CC,293,0.8809,0.9102,0.00058,0.9966
COC(=O)CC(C)C,293,0.8808,0.9,0.00042,0.9854
CCc1ccccc1C,293,0.8807,0.9113,0.00058,0.9629
CC(=O)OC(C)CC(C)C,298,0.8805,0.8857,0.00069,0.972
CC(C)=CCCC(C)c1ccc(C)cc1,293,0.8805,0.9046,0.00086,0.9587
CC(O)C1CC1,293,0.8805,0.9264,0.0007,0.9168
CCCCCC#CCO,293,0.8805,0.9129,0.00063,0.9126
Cc1ccccc1C,283,0.8802,0.9177,0.00068,0.9973
C=C(C)C(=O)OCC(CC)CCCC,298,0.88,0.9053,0.00066,0.958
C=C(C)C(=O)OCCCCCC,298,0.88,0.9136,0.00055,0.9937
C=CC(=O)OCC(CC)CCCC,298,0.88,0.9101,0.00058,0.958
CCCCN=C=O,293,0.88,0.9097,0.00101,0.9122
CCc1ccccc1CC,293,0.88,0.9087,0.00074,0.9527
CCCCCCCCC(=O)OC,288,0.8799,0.9034,0.00059,0.9919
C#CC(C)=O,293,0.8793,0.924,0.00084,0.9099
C=CC(=O)OC(C)(C)C,298,0.879,0.9213,0.00093,0.9691
CC(O)COC(C)C,293,0.879,0.8868,0.0007,0.9846
CCC(CC)COC(C)=O,293,0.879,0.9043,0.0007,0.9605
CN(C)CC(O)CN(C)C,293,0.8788,0.8874,0.0009,0.9683
CC1CC(C)(C)CC1=O,291,0.8785,0.9101,0.0007,0.9326
CCCCCCCOC=O,293,0.8784,0.9001,0.0008,0.9689
CCCCCCCl,293,0.8781,0.8934,0.00063,0.993
C=CC(=O)OCCCCCC,293,0.878,0.9212,0.00068,0.9698
CC(N)CN,288,0.878,0.8514,0.00074,0.9771
CCCCCCOC(C)=O,288,0.8779,0.9053,0.00051,0.9938
CC(C)COC=O,293,0.8776,0.9074,0.00071,0.969
CCCCCCCC(=O)OC,293,0.8775,0.8998,0.00061,0.9919
CC(C)CCl,293,0.8773,0.8848,0.00067,0.9796
C[C@@H]1CC(=O)C(C)(C)C1,298,0.877,0.9037,0.00083,0.9422
CC(C)CCOC=O,293,0.877,0.8997,0.00083,0.9689
CCCCC(=O)OCC,293,0.877,0.8983,0.00073,0.9927
CCCCC(CC)CCl,293,0.8769,0.895,0.00061,0.9617
C=CCSC,293,0.8767,0.8982,0.00075,0.95
Cc1ccccc1C(C)C,293,0.8766,0.9086,0.00067,0.9523
CCN(CC)C(=O)CC(C)C,293,0.8764,0.9013,0.00043,0.9598
CCc1ccc(C)cc1C,293,0.8763,0.9076,0.00054,0.9605
CCCCCCCCl,293,0.8762,0.8912,0.00069,0.993
CCCCCOC(=O)CC,298,0.8761,0.896,0.00066,0.9942
C1CCC2CCCC2C1,298,0.876,0.8999,0.00063,0.9552
C=CCCCCCCCCO,298,0.876,0.8684,0.00057,0.9907
CC(=O)OCCC(C)C,288,0.876,0.9023,0.0007,0.986
Cc1ccc(C)c(C)c1,293,0.8758,0.9089,0.00044,0.9951
CC(C)=CCC/C(C)=C\CO,293,0.8756,0.9112,0.00066,0.9481
CCCCCOC(C)=O,293,0.8756,0.9047,0.00077,0.9942
COC1CCCCC1,293,0.8756,0.8882,0.00078,0.9637
C1=C\CCC/C=C\C/1,293,0.8754,0.8574,0.00047,0.9123
CCCCOC(=O)CC,293,0.8754,0.9019,0.00046,0.995
CCCC1=NCCCC1,288,0.8753,0.916,0.00033,0.872
CC(C)CCCl,293,0.875,0.8849,0.00101,0.986
CCCCCCCOC(C)=O,288,0.875,0.9025,0.00072,0.9937
C=CC1(C)CCC(C(=C)C)CC1C(=C)C,293,0.8749,0.8985,0.00056,0.9204
CCC(C)(C)c1ccccc1,293,0.8748,0.8993,0.0005,0.9684
CCC(C)OC(C)=O,293,0.8748,0.9097,0.00065,0.9741
CCc1cc(C)cc(CC)c1,293,0.8748,0.8943,0.00069,0.9767
CCCCCCCCOC=O,293,0.8744,0.8987,0.00056,0.9689
CCC(C)COC(C)=O,293,0.874,0.902,0.00028,0.9695
CCc1ccc(CC)c(CC)c1,293,0.8738,0.9024,0.00044,0.9473
CCCC(=O)OCC,298,0.8735,0.8966,0.00088,0.9993
CCCCCCCCCl,293,0.8734,0.8899,0.00069,0.993
CCC(C)Cl,293,0.8732,0.8928,0.0005,0.9641
CCc1cc(C)ccc1C,298,0.8732,0.905,0.00054,0.9624
CCC(Cl)CC,293,0.8731,0.894,0.00068,0.9642
CCCCCC(=O)OCC,293,0.873,0.8937,0.00088,0.992
CCCCCCCCCC(=O)OC,293,0.873,0.8976,0.00055,0.9919
CCCOC(=O)CCC,293,0.873,0.899,0.00057,0.9992
CC(C)OC=O,293,0.8728,0.9193,0.00072,0.9685
COCCCN,293,0.8727,0.8685,0.00068,0.9865
CCC(C)ON=O,293,0.8726,0.9302,0.00083,0.8575
CC(C)=CC=O,293,0.8722,0.8922,0.00058,0.9337
CC(C)(C)OC=O,298,0.872,0.9169,0.00048,0.9671
CN(C)CCCO,298,0.872,0.8868,0.00035,0.9871
CC(=O)OC(C)C,293,0.8718,0.9114,0.00056,0.9789
CCCCC(CC)COC(C)=O,293,0.8718,0.8963,0.00068,0.9582
CCCCCOC(=O)CCC,288,0.8713,0.896,0.00068,0.9942
CC(=O)OCC(C)C,293,0.8712,0.9022,0.00064,0.9788
C/C=C(\C)C=O,293,0.871,0.8925,0.0006,0.9416
CCCC(Cl)CCC,293,0.871,0.8891,0.00076,0.9603
CCCCOC(=O)CCCC,288,0.871,0.8968,0.00057,0.9927
CCOC(=O)CCC(C)CC,293,0.8708,0.8936,0.0006,0.977
CCCCCCCCCCl,293,0.8706,0.8889,0.00045,0.993
CCc1ccc(C)c(C)c1,298,0.8706,0.9032,0.00069,0.983
CCCCCCCCOC(C)=O,293,0.8705,0.895,0.00046,0.9937
CCOC(=O)CCC(C)C,293,0.8705,0.8907,0.00059,0.986
CN(C)CCC#N,293,0.8705,0.8937,0.00063,0.9721
C#CC(O)CCC,293,0.8704,0.9133,0.00084,0.9011
CC(C)c1ccccc1C(C)C,293,0.8701,0.8983,0.00094,0.9357
C=C(C)/C=C/[C@@H](CCC(C)=O)C(C)C,293,0.87,0.8929,0.00051,0.9452
C[C@H](CO)OC(C)(C)C,298,0.87,0.8912,0.00056,0.9683
C=CC(C)(O)CCC=C(C)C,288,0.87,0.8957,0.00053,0.9593
CCCC(C)COC(C)=O,298,0.87,0.8938,0.00067,0.968
CCCCOC(=O)CCC,293,0.87,0.8924,0.00046,0.995
CC(C)CON=O,295,0.8699,0.927,0.00087,0.8621
CCCCC(=O)OCCC,293,0.8699,0.8958,0.00059,0.9927
CCCCCCOC(=O)CC,293,0.8698,0.8952,0.00097,0.9938
CCC(=O)OCCC(C)C,293,0.8697,0.8931,0.0005,0.986
CCCc1ccccc1C,298,0.8697,0.9026,0.00059,0.9631
CCCCCCCCCCCl,293,0.8696,0.8868,0.00075,0.993
CCC(C)(O)CCC=C(C)C,288,0.8695,0.8671,0.00061,0.9593
CCCCC(C)Cl,294,0.8694,0.8904,0.00066,0.9624
CCCCC(Cl)CC,293,0.869,0.8919,0.00065,0.9623
CN=[N+]=[N-],288,0.869,0.9321,0.0007,0.9574
C#CC(C)(O)CC,293,0.8688,0.9083,0.0005,0.9026
CC(C)ON=O,288,0.8684,0.9402,0.00078,0.8559
CCCC(Cl)CC,293,0.8684,0.892,0.00049,0.9625
C1=CCCCC=C1,298,0.868,0.9028,0.00072,0.908
CCOC(=O)C(C)C,293,0.868,0.8938,0.00066,0.9554
C=C(CCC=C(C)C)[C@H]1CC=C(C)CC1,293,0.8673,0.8938,0.00062,0.9115
CCCCCCCCCCCCCl,293,0.8673,0.8876,0.0004,0.993
CCCCCC(=O)OCCC,293,0.8672,0.893,0.00042,0.992
CCCCCC(C)Cl,293,0.8672,0.8893,0.00069,0.9624
CCCCCCCCCCOC(C)=O,293,0.8671,0.8918,0.0005,0.9937
CC(C)(C)N=C=O,280,0.867,0.9026,0.00084,0.91
CC(C)(C)ON=O,293,0.867,0.9121,0.00087,0.8552
CCN(O)CC,293,0.8669,0.9002,0.00075,0.9293
Cc1cc(C)cc(C(C)(C)C)c1,293,0.8668,0.8975,0.0006,0.9695
Cc1ccccc1,293,0.8668,0.8963,0.00055,0.9982
CC(=O)OC(C)(C)C,293,0.8665,0.905,0.00105,0.9812
CC(C)(C)c1ccccc1,293,0.8665,0.8967,0.00046,0.9729
CCCCCCCCOC(=O)CC,293,0.8663,0.8924,0.00054,0.9937
C/C=C\CO,293,0.8662,0.914,0.00064,0.9668
CC(C)(C)CCl,293,0.866,0.8852,0.00062,0.9832
CC(C)N=C=O,298,0.866,0.9088,0.00088,0.9131
CCC(=O)OC(C)C,293,0.866,0.9014,0.00094,0.9791
CCCCCCCC(=O)OCC,291,0.866,0.8908,0.00043,0.9919
CCN(CC)CC#N,293,0.866,0.8838,0.0007,0.9393
CCCCCCCC(=O)OCCC,293,0.8659,0.8883,0.00051,0.9919
CCCCCCC(C)Cl,290,0.8658,0.8893,0.00062,0.9624
CCC(=O)OC(C)CC,293,0.8657,0.9014,0.00086,0.9743
CCC=O,298,0.8657,0.7949,0.00063,0.965
CCCCCCCCC(=O)OCC,293,0.8657,0.8894,0.00064,0.9919
Cc1cccc(C(C)(C)C)c1,293,0.8657,0.8978,0.00054,0.9726
CCOC(=O)CC(C)C,293,0.8656,0.887,0.00055,0.9854
CC(=O)C=C(C)C,293,0.8653,0.8926,0.00085,0.9247
CCC(C)(C)Cl,293,0.8653,0.9071,0.0005,0.9454
CCCCCC(=O)OCCCC,293,0.8653,0.8888,0.0003,0.992
CCCCCCOC(=O)CCC,293,0.8652,0.8877,0.00058,0.9938
CCCC(=O)OCCC(C)C,292,0.865,0.8853,0.00066,0.986
CCCCCCCCCC(=O)OCC,293,0.865,0.8875,0.00048,0.9919
CCCCCCOC(=O)CCCCC,291,0.865,0.8875,0.00068,0.992
CN(C)CC#N,293,0.8649,0.892,0.00068,0.9402
CCC(OC)OC,293,0.8648,0.8587,0.00082,0.9533
CCc1cccc(C)c1,293,0.8645,0.8952,0.00061,0.983
CCc1ccc(C(C)(C)C)cc1,293,0.8641,0.8959,0.00057,0.9729
CCCC/C=C/C=O,290,0.864,0.8718,0.00054,0.9409
C=CC(C)=O,293,0.864,0.8791,0.00051,0.9541
CC(C)c1ccccc1,298,0.864,0.8874,0.00055,0.9664
CCCCCCC(=O)OCCCC,293,0.8638,0.8879,0.0004,0.9919
CCCCCOC(=O)CCCC,293,0.8638,0.8901,0.00055,0.9927
CCCCCCCOC(=O)CCC,293,0.8637,0.888,0.00049,0.9937
COCCOC,298,0.8637,0.8723,0.00065,0.9997
CCCCCCOC(=O)CCCC,293,0.8635,0.8859,0.00039,0.9927
CCCCCCCCCCC(=O)OCC,293,0.8633,0.8877,0.0007,0.9919
CC1=CCC(=C(C)C)CC1,288,0.8632,0.89,0.00053,0.8862
CCc1cc(CC)cc(CC)c1,293,0.8631,0.8951,0.00044,0.9723
CCCCCCCCOC(=O)CCC,293,0.8629,0.8861,0.00053,0.9937
CCCCCCCC(=O)OCCCC,293,0.8628,0.8848,0.00063,0.9919
CC(C)CCOC(=O)C(C)C,293,0.8627,0.8807,0.00058,0.9554
CCCCCCC(C)OC(C)=O,287,0.8626,0.8968,0.0008,0.9727
CCc1ccccc1,298,0.8626,0.8917,0.00041,0.9829
CCCCC(=O)OCC(C)C,298,0.8625,0.8834,0.00054,0.9788
C/C=C/C(C)=O,293,0.8624,0.8734,0.00068,0.946
C=CC1=CCCCC1,288,0.8623,0.8848,0.00053,0.898
CCCCCCC(=O)OCCCCC,293,0.8623,0.8862,0.0006,0.9919
CCCCCCCOC(=O)CCCC,293,0.8623,0.8866,0.00056,0.9927
CC(C)OC(OC(C)C)OC(C)C,293,0.8621,0.8858,0.00053,0.9115
CCC(C)c1ccccc1,293,0.8621,0.89,0.00072,0.961
C=CC(OC)OC,298,0.862,0.892,0.00063,0.9332
CCCCCCCCON=O,290,0.862,0.9159,0.00075,0.8608
CCCCOC(=O)C(C)CC,293,0.862,0.887,0.0008,0.9506
CCc1ccc(CC)cc1,293,0.862,0.895,0.00051,0.9829
C#CC(C)O,293,0.8618,0.967,0.00056,0.9007
CCCOC(=O)CC(C)C,293,0.8617,0.8856,0.00081,0.9854
Cc1cc(C)cc(C)c1,298,0.8615,0.8917,0.00062,0.9988
CCc1ccc(C)cc1,293,0.8614,0.8948,0.00051,0.9829
CCCCCCCC(=O)OCCCCC,293,0.8613,0.8851,0.00037,0.9919
CCCCCOC(=O)CCCCC,298,0.8612,0.8833,0.00049,0.992
Cc1ccc(C(C)(C)C)cc1,293,0.8612,0.8937,0.00045,0.9729
CC(C)CC(C)Cl,293,0.861,0.88,0.00047,0.9614
CCCCCC(=O)OCCC(C)C,293,0.861,0.8817,0.00065,0.986
Cc1cccc(C(C)C)c1,293,0.861,0.8949,0.00069,0.9667
CCc1cc(C)cc(C)c1,298,0.8608,0.8899,0.00068,0.9776
CCc1cccc(CC)c1,293,0.8602,0.8951,0.00056,0.9793
CCCCc1ccccc1,293,0.8601,0.8902,0.00077,0.9845
C=C1CCC2CC1C2(C)C,298,0.86,0.8835,0.00056,0.8965
C=CC(O)C=C,296,0.86,0.9362,0.00043,0.9404
CCC1CC2C=CC1C2,298,0.86,0.9079,0.00099,0.9349
CCCCCCCCCOC=O,298,0.86,0.8913,0.00081,0.9689
CCN(CC)CCCO,293,0.86,0.8782,0.00051,0.967
CN1CCN(C)CC1,293,0.86,0.8945,0.00074,0.9952
Cc1cccc(C)c1,298,0.8596,0.8913,0.00059,0.9976
CCCCCCC(=O)OCC(C)C,293,0.8593,0.8828,0.00099,0.9788
CCCc1ccccc1,298,0.8593,0.8897,0.00092,0.9855
COCOC,293,0.8593,0.8327,0.00072,0.9553
CC(C)=CCC[C@H](C)CCO,291,0.859,0.8786,0.00042,0.9593
CC1CO1,273,0.859,0.8898,0.00069,0.8847
CCOC(OCC)N(C)C,298,0.859,0.8763,0.00045,0.9131
CCCC(=O)OC(C)C,293,0.8588,0.8895,0.00082,0.9791
CCCCC(CC)C(=O)OCC,298,0.8586,0.881,0.00057,0.9421
CCCCCc1ccccc1,293,0.8585,0.8894,0.00044,0.9845
CCCCCCCCCc1ccccc1,293,0.8584,0.8839,0.00083,0.9845
CC(C)CCOC(=O)CC(C)C,292,0.8583,0.8765,0.00068,0.9854
CC/C=C(\C)C=O,293,0.8581,0.8877,0.00042,0.9298
CC(C)(C)Cc1ccccc1,291,0.8581,0.8797,0.0005,0.9752
CCCCC(=O)OC(C)C,293,0.8579,0.8868,0.00053,0.9791
CCCCCCc1ccccc1,293,0.8575,0.8864,0.0004,0.9845
CC(C)c1ccc(C(C)C)c(C(C)C)c1,298,0.8574,0.8884,0.00048,0.9301
Cc1ccc(C(C)C)cc1,293,0.8573,0.89,0.00082,0.9664
CCC1CCCO1,292,0.857,0.8835,0.0006,0.9594
CCCc1cccc(C)c1,298,0.8569,0.8887,0.00068,0.9847
CC(C)c1ccc(C(C)C)cc1,293,0.8568,0.8917,0.00094,0.9664
CCCCCCCc1ccccc1,293,0.8567,0.8853,0.00057,0.9845
CCCCCCCCc1ccccc1,293,0.8562,0.886,0.00084,0.9845
CC(C)CCc1ccccc1,293,0.856,0.8849,0.00042,0.9836
CCOC(=O)C(C)(C)C,293,0.856,0.8802,0.00061,0.9567
C/C=C\C(=O)CC,293,0.8559,0.9028,0.00046,0.9458
CC(C)c1cccc(C(C)C)c1,293,0.8559,0.8922,0.00064,0.9667
CCC/C=C(/C=O)CC,293,0.8554,0.8847,0.0007,0.9225
CC1CCCO1,293,0.8552,0.8839,0.00059,0.9612
CC(C)=CCC[C@@H](C)CCO,293,0.855,0.8774,0.00053,0.9593
C=C(C)CCC[C@H](C)CCO,293,0.8549,0.8739,0.0004,0.9607
CC(=O)/C=C/C(C)C,301,0.8549,0.8663,0.00073,0.9311
CC1=CC[C@@H]2[C@H](C1)C2(C)C,303,0.8549,0.8797,0.00035,0.8735
CC(=O)CCC=C(C)C,289,0.8546,0.8785,0.00045,0.9594
CC(C)=CCCC(C)O,293,0.8545,0.8667,0.00054,0.9593
CC(C)c1cc(C(C)C)cc(C(C)C)c1,293,0.8545,0.8927,0.00054,0.9667
CCCc1ccc(C)cc1,298,0.8544,0.8881,0.00039,0.9855
C=CC(OCC)OCC,288,0.8543,0.8799,0.00075,0.9346
CC(C)COC(=O)C(C)C,293,0.8542,0.8837,0.00076,0.9554
C=CCO,293,0.854,0.9183,0.00059,0.9692
CCCCC(C=O)CC,293,0.854,0.8406,0.00047,0.9441
CC(C)CC(=O)OC(C)C,290,0.8538,0.8807,0.00065,0.9791
CC/C=C\CC=O,295,0.8533,0.8607,0.00047,0.9592
CC(C)Cc1ccccc1,293,0.8532,0.8819,0.00061,0.9807
C=C(C)C(C)O,290,0.8531,0.8907,0.00056,0.9517
CC(C)=CCC[C@@H](C)CC=O,293,0.853,0.8682,0.00064,0.9593
C1CCC2CC2C1,298,0.853,0.8896,0.00072,0.9183
CC(C)COC(=O)CC(C)C,293,0.853,0.8779,0.00053,0.9788
CC/C=C\CO,293,0.8529,0.8998,0.0006,0.9666
C=C(C)C(C)=O,293,0.8527,0.8856,0.00058,0.9751
C/C=C/CO,293,0.8521,0.9056,0.00049,0.9668
C=C1C=C[C@H](C(C)C)CC1,293,0.852,0.8726,0.0006,0.9096
C=CCCC=O,293,0.852,0.8583,0.00068,0.9663
CCCCCCCCC(=O)OCCCC,298,0.852,0.8816,0.00082,0.9919
C/C=C/C=O,293,0.8516,0.8654,0.00077,0.9496
CCCC/C=C/CO,293,0.8516,0.8892,0.00052,0.9666
C=C(C)CO,293,0.8515,0.8951,0.00038,0.9584
C/C=C/CCCO,293,0.8513,0.8801,0.00034,0.9892
COC(C)OC,293,0.8501,0.859,0.00087,0.9593
CCCCC/C=C/CO,293,0.85,0.8854,0.00079,0.9666
CCCCCS,293,0.85,0.8558,0.00072,0.9223
CCC/C=C/C=O,293,0.8491,0.8708,0.00075,0.9415
CCC/C=C/CO,289,0.849,0.8936,0.0005,0.9666
CC1=CCC(C(C)C)=CC1,293,0.849,0.8592,0.00044,0.8932
CC(C)=CCO,298,0.848,0.8959,0.0007,0.951
CC/C=C\CCO,295,0.8478,0.8818,0.0008,0.9841
CC(=O)OC(C)CCCC(C)C,293,0.8474,0.8899,0.00059,0.9727
CCCCCC/C=C/C(C)=O,293,0.8473,0.8736,0.00063,0.9426
CCC/C=C\CO,293,0.8472,0.8951,0.00066,0.9666
CC/C=C/CO,293,0.8471,0.8964,0.00054,0.9666
C1=CCC=CC1,293,0.8471,0.8553,0.0008,0.9183
CC(C)OC(=O)C(C)C,294,0.8471,0.8816,0.0004,0.9552
COC(C)(C)OC,298,0.847,0.8692,0.00084,0.9639
C=CC(=O)CC,293,0.8468,0.8954,0.00061,0.9547
CC1CCC2CC1C2(C)C,294,0.8467,0.8576,0.00052,0.912
CCCCC/C=C/C=O,298,0.846,0.8669,0.00048,0.9409
C=C(C)CCC(C)=O,293,0.846,0.8739,0.00062,0.9599
CCOCCOC,298,0.846,0.8578,0.00082,0.9943
CCCCCCCCCCCCC(=O)O,353,0.8458,0.8736,0.00056,0.9885
C=CCCCO,293,0.8457,0.8786,0.00049,0.9906
CC1=CCC(C(C)C)CC1,288,0.8457,0.8473,0.00047,0.9105
CCCCCCCCCCCS,293,0.8448,0.8644,0.00066,0.9223
CC1CCCNC1,299,0.8446,0.8639,0.00075,0.9636
CCCCCCCCCCS,293,0.8443,0.8654,0.0005,0.9223
CCC[C@H]1CCCCN1,293,0.844,0.8651,0.00038,0.9525
CC(C)(C)CCO,288,0.844,0.8379,0.00044,0.9855
CCCCCCCCCCCCS,293,0.844,0.8667,0.00077,0.9223
C1CNC1,293,0.8436,0.8529,0.00071,0.8933
CC1CCCCN1,297,0.8436,0.858,0.00055,0.9592
CCCCCCCCS,293,0.8433,0.8605,0.00095,0.9223
CCCCCSC,293,0.8431,0.8607,0.00044,0.9542
C=C(C)[C@@H]1CC=C(C)CC1,293,0.843,0.8747,0.00044,0.9115
CCCCCCCS,293,0.8427,0.8604,0.00055,0.9223
CCCCSC,293,0.8426,0.8586,0.00044,0.9542
CCC(C)CC(O)CC,298,0.8425,0.8255,0.00048,0.9769
C=CCCO,293,0.8424,0.8848,0.0004,0.9837
CCCCCCS,293,0.8424,0.8597,0.00062,0.9223
CCCSC,293,0.8424,0.8582,0.00043,0.9538
CCSC,293,0.8422,0.8591,0.00063,0.9529
C=CCCC(C)O,289,0.842,0.8684,0.00053,0.9889
CC(C)(C)Cl,293,0.842,0.8976,0.00087,0.9446
CCCCS,293,0.8416,0.854,0.00072,0.9223
C=C(C)[C@H]1CC=C(C)CC1,293,0.8411,0.874,0.00044,0.9115
C=C(C)CC(C)=O,293,0.8411,0.8651,0.00065,0.9592
CCCCCCSCCCCCC,293,0.8411,0.863,0.00061,0.9499
CCCS,293,0.8411,0.853,0.00052,0.9216
C=C/C(C)=C/C/C=C(\C)CCC=C(C)C,293,0.841,0.8599,0.00048,0.9371
C=CC1CC2C=CC1C2,298,0.841,0.9444,0.00066,0.9353
CC(C)(N)CN,298,0.841,0.835,0.00052,0.9829
CC1CCO1,298,0.841,0.7867,0.00102,0.8939
CCC(S)CC,293,0.841,0.855,0.00075,0.9236
CCC(O)(CC)CC,295,0.8407,0.8319,0.00066,0.9713
CCCCCSCCCCC,293,0.8407,0.862,0.0004,0.9499
C1=CCCC=C1,293,0.8405,0.8838,0.00065,0.9188
C1=C\CC/C=C/CC/C=C\CC/1,373,0.84,0.8967,0.00073,0.9866
C=C(C)C=O,298,0.84,0.8681,0.00072,0.9665
C=CC=O,293,0.84,0.8517,0.00059,0.9561
CC(C)=CC(C)O,288,0.84,0.8838,0.00047,0.9369
C=CC(O)CCCCC,286,0.8395,0.875,0.00076,0.9662
C=CC(O)CC,293,0.839,0.8771,0.00076,0.967
CC(C)=NN=C(C)C,293,0.839,0.8278,0.00057,0.8551
