#"Step"	"Acceleration (nm/ps^2)"	"VelocityAmplitude (nm/ps)"	"1/Viscosity (1/Pa.s)"
14850	0.02	-0.009693243060833625	-1322.1874570479904
14900	0.02	-0.007508179604258821	-1024.1382410110336
14950	0.02	-0.008335625397591785	-1137.0043315924743
15000	0.02	-0.005031078693355697	-686.2542393736504
15050	0.02	0.00034709742172722583	47.34513046884915
15100	0.02	7.917775911735534e-05	10.80008407146361
15150	0.02	-0.0025954310932946333	-354.0245937969282
15200	0.02	-0.004290539515644299	-585.242472096411
15250	0.02	-0.005562859510087017	-758.7907394251017
15300	0.02	-0.004437378239762063	-605.2717149431019
15350	0.02	-0.005148986350137028	-702.3371977713518
15400	0.02	-0.002934396138401996	-400.2604436777129
15450	0.02	0.004857619555001713	662.593892098477
15500	0.02	0.008841060605882614	1205.9472115510728
15550	0.02	0.007327012390369486	999.4264890896692
15600	0.02	0.008917460484027778	1216.3683843174604
15650	0.02	0.011751490254939415	1602.9385541237355
15700	0.02	0.01579581957816407	2154.59721673847
15750	0.02	0.015348787942908849	2093.620759496173
15800	0.02	0.019209571192066205	2620.243186518842
15850	0.02	0.019100792487288867	2605.405444583776
15900	0.02	0.024015772472710466	3275.8234716137786
15950	0.02	0.019853677232860373	2708.1011843841766
16000	0.02	0.02424027809486617	3306.4467125444053
16050	0.02	0.02337355462435645	3188.223028866498
16100	0.02	0.026070438207177186	3556.086046841575
16150	0.02	0.024775337337953108	3379.4303997940983
16200	0.02	0.025804350780018297	3519.7909228609124
16250	0.02	0.030451444322218253	4153.668434717823
16300	0.02	0.0331156269677866	4517.070946668501
16350	0.02	0.030821344574885622	4204.1239397914405
16400	0.02	0.02837577959277439	3870.541533526556
16450	0.02	0.02938892456417397	4008.737549550173
16500	0.02	0.031190542716677944	4254.483674833641
16550	0.02	0.0319177572598698	4353.677921955766
16600	0.02	0.02697226232964921	3679.0975648353547
16650	0.02	0.024931123896405616	3400.6801541095397
16700	0.02	0.027659274131526444	3772.808037335144
16750	0.02	0.025213060156968618	3439.137106551973
16800	0.02	0.0262435143891555	3579.694157717296
16850	0.02	0.023258618419361922	3172.5453854141747
16900	0.02	0.024717612010992592	3371.5564918788436
16950	0.02	0.020918612465402123	2853.3615475256415
17000	0.02	0.01937572924454583	2642.907643759553
17050	0.02	0.015572688326368536	2124.161444051459
17100	0.02	0.015240645936300453	2078.8698651030095
17150	0.02	0.01186657254242398	1618.6361236663065
17200	0.02	0.004604397897360271	628.0536977089201
17250	0.02	0.007489688385480982	1021.615983250638
17300	0.02	0.008731998284128573	1191.0707834088362
17350	0.02	0.01073166850244444	1463.831805111956
17400	0.02	0.004745692479072188	647.3267028854017
17450	0.02	0.00545502677141113	744.0820301064963
17500	0.02	0.00920293218596704	1255.307581578627
17550	0.02	0.007843856140801268	1069.9255284499566
17600	0.02	0.007458039747214147	1017.2990139673504
17650	0.02	0.0027649473941694703	377.14712620174413
17700	0.02	0.004537118553179003	618.8765931592242
17750	0.02	0.004731095281595109	645.3356013220631
17800	0.02	0.006377913195104654	869.9665092255532
17850	0.02	0.004857978809698117	662.6428955177133
17900	0.02	0.00397172405457747	541.7550859770247
17950	0.02	0.004586543842688843	625.6183510456974
18000	0.02	0.003063724813957106	417.9012633272811
18050	0.02	0.004179809917892293	570.1386225021266
18100	0.02	0.0017819782586340589	243.06718479166506
18150	0.02	0.002502530200166574	341.352633043278
18200	0.02	0.004179588468436942	570.1084161315242
18250	0.02	0.005847324551587593	797.5926251799764
18300	0.02	0.006678210187191825	910.9279205751981
18350	0.02	0.006248051960988809	852.2530469893162
18400	0.02	0.005450991775897142	743.5316446034858
18450	0.02	0.0023374490591393654	318.8350697580574
18500	0.02	0.004899329088930427	668.2831977574563
18550	0.02	0.007586065660118734	1034.7621328798982
18600	0.02	0.006883382758585452	938.9140753352135
18650	0.02	0.007057178901932101	962.6203911032298
18700	0.02	0.00860152534026847	1173.2738821268501
18750	0.02	0.007813222861949652	1065.7470572394782
18800	0.02	0.008631845950409861	1177.409704386479
18850	0.02	0.005261161203339235	717.6381845483617
18900	0.02	0.005600105570875318	763.8712139463404
